SalesID_SK,SaleID,ProductID,CustomerID,DateKey,SalesAmount,Quantity
1,c0078cd1-3ddc-439a-b41d-7498e8e75e62,1020,C0460,20240809,1639.1,18.0
2,be8532af-16b7-432c-a13d-4c6e6836d12d,1029,C0198,20241128,186.11,42.0
3,8666f277-cc58-4fde-9d58-697da9e040f2,1012,C0524,20241013,1712.72,49.0
4,383e0a2b-7e00-454e-a269-b2f73ecd33f2,1016,C0285,20240706,1015.07,50.0
5,d9a7f974-9572-48dd-aa36-3f96b280dfc7,1021,C0369,20240608,66.36,21.0
6,d71733ac-4fc4-42e6-ae48-c2150c8a92ae,1016,C0709,20241115,1705.51,31.0
7,b7475afb-27f7-46fe-8bcd-c099c178d17f,1047,C0929,20240828,1509.94,3.0
8,f5953c0c-e9bc-489a-9333-1e0c0a81d873,1027,C0019,20240830,1635.15,25.0
9,427c33bb-dff7-4332-8d29-954728c713b1,1020,C0983,20241022,1070.59,31.0
10,812ad61f-2e80-4b95-ae02-a91976bd2baa,1006,C0536,20240620,1097.0,2.0
11,a18dadb3-b2e6-476e-b2fb-b4a477721bf0,1005,C0164,20241115,683.83,38.0
12,fb7031b8-6ea9-48f1-9a00-9bc178359f8d,1017,C0955,20240707,1187.22,26.0
13,16380106-881a-4b17-b7a6-cdb1cb7b0310,1046,C0102,20240610,1660.55,37.0
14,3b8b6be3-3531-4e99-bb88-f690abf80831,1039,C0246,20241031,1285.76,12.0
15,1c2ea051-0ea9-4464-9328-f005529e49b0,1044,C0231,20241030,580.56,2.0
16,385f4dc3-93d8-4aea-9448-9ae392f1c70f,1012,C0266,20240922,1729.19,38.0
17,65286b1d-53a6-4935-a98a-1cb1876e571e,1018,C0558,20240928,1700.77,44.0
18,a71af1cd-5827-45bc-9819-7b822084b056,1004,C0267,20240729,1685.47,20.0
19,fc2fbc9b-7dd9-47f9-8c88-f4657b809fda,1023,C0647,20240817,960.8,37.0
20,d5ffcbb0-4af7-471e-a978-8d26a139e065,1030,C0099,20240820,1220.63,5.0
21,0ca44dee-070d-4ba5-92f5-4294061c1b6a,1002,C0152,20240912,415.25,29.0
